YR,PAT_COUNTY,COUNTY,NPCSEC_CNT,PCSEC_CNT,TOTAL,PCRATE
2016,339,Montgomery County,4157,936,5093,18.4
2016,495,Winkler County,71,16,87,18.4
2017,379,Rains County,62,14,76,18.4
2018,257,Kaufman County,931,210,1141,18.4
2017,181,Grayson County,901,202,1103,18.3
2017,299,Llano County,94,21,115,18.3
2019,395,Robertson County,89,20,109,18.3
2016,349,Navarro County,405,90,495,18.2
2017,095,Concho County,9,2,11,18.2
2017,101,Cottle County,9,2,11,18.2
2017,321,Matagorda County,302,67,369,18.2
2017,413,Schleicher County,9,2,11,18.2
2017,477,Washington County,207,46,253,18.2
2017,495,Winkler County,63,14,77,18.2
2018,119,Delta County,36,8,44,18.2
2018,169,Garza County,27,6,33,18.2
2019,095,Concho County,9,2,11,18.2
2019,373,Polk County,193,43,236,18.2
2019,385,Real County,9,2,11,18.2
2019,451,Tom Green County,668,149,817,18.2
2016,439,Tarrant County,15327,3393,18720,18.1
2016,503,Young County,127,28,155,18.1
2017,335,Mitchell County,59,13,72,18.1
2017,339,Montgomery County,3911,863,4774,18.1
2018,139,Ellis County,1367,303,1670,18.1
2018,453,Travis County,8684,1921,10605,18.1
2019,013,Atascosa County,308,68,376,18.1
2019,067,Cass County,113,25,138,18.1
2016,227,Howard County,265,58,323,18
2019,121,Denton County,4532,992,5524,18
2019,195,Hansford County,41,9,50,18
2019,439,Tarrant County,10887,2394,13281,18
2016,289,Leon County,128,28,156,17.9
2017,121,Denton County,6085,1328,7413,17.9
2017,377,Presidio County,64,14,78,17.9
2018,335,Mitchell County,55,12,67,17.9
2018,341,Moore County,216,47,263,17.9
2018,397,Rockwall County,639,139,778,17.9
2019,171,Gillespie County,119,26,145,17.9
2019,257,Kaufman County,695,152,847,17.9
2017,077,Clay County,37,8,45,17.8
2017,113,Dallas County,22791,4926,27717,17.8
2017,467,Van Zandt County,351,76,427,17.8
2018,013,Atascosa County,388,84,472,17.8
2018,091,Comal County,935,203,1138,17.8
2018,113,Dallas County,22178,4799,26977,17.8
2018,321,Matagorda County,305,66,371,17.8
2018,459,Upshur County,222,48,270,17.8
2019,141,El Paso County,4361,947,5308,17.8
2019,231,Hunt County,444,96,540,17.8
2016,015,Austin County,205,44,249,17.7
2016,121,Denton County,6382,1373,7755,17.7
2016,215,Hidalgo County,8224,1764,9988,17.7
2016,297,Live Oak County,65,14,79,17.7
2016,389,Reeves County,116,25,141,17.7
2017,297,Live Oak County,65,14,79,17.7
2017,307,McCulloch County,51,11,62,17.7
2018,307,McCulloch County,51,11,62,17.7
2018,357,Ochiltree County,65,14,79,17.7
2016,233,Hutchinson County,196,42,238,17.6
2016,279,Lamb County,112,24,136,17.6
2016,413,Schleicher County,14,3,17,17.6
2018,089,Colorado County,145,31,176,17.6
2018,095,Concho County,14,3,17,17.6
2019,037,Bowie County,407,87,494,17.6
2016,025,Bee County,203,43,246,17.5
2016,441,Taylor County,1205,256,1461,17.5
2016,451,Tom Green County,886,188,1074,17.5
2016,493,Wilson County,260,55,315,17.5
2017,233,Hutchinson County,165,35,200,17.5
2017,287,Lee County,94,20,114,17.5
2017,473,Waller County,334,71,405,17.5
2018,163,Frio County,113,24,137,17.5
2018,293,Limestone County,141,30,171,17.5
2018,409,San Patricio County,527,112,639,17.5
2019,405,San Augustine County,33,7,40,17.5
2016,129,Donley County,19,4,23,17.4
2017,189,Hale County,200,42,242,17.4
2017,355,Nueces County,2483,524,3007,17.4
2018,009,Archer County,38,8,46,17.4
2018,349,Navarro County,361,76,437,17.4
2018,439,Tarrant County,14844,3124,17968,17.4
2018,441,Taylor County,1186,250,1436,17.4
2019,073,Cherokee County,303,64,367,17.4
2019,383,Reagan County,19,4,23,17.4
2016,113,Dallas County,23796,4980,28776,17.3
2016,409,San Patricio County,592,124,716,17.3
2017,031,Blanco County,43,9,52,17.3
2017,063,Camp County,110,23,133,17.3
2017,149,Fayette County,129,27,156,17.3
2017,371,Pecos County,105,22,127,17.3
2019,453,Travis County,6619,1387,8006,17.3
2016,089,Colorado County,149,31,180,17.2
2016,207,Haskell County,24,5,29,17.2
2016,319,Mason County,24,5,29,17.2
2016,473,Waller County,332,69,401,17.2
2018,179,Gray County,140,29,169,17.2
2018,231,Hunt County,601,125,726,17.2
2018,271,Kinney County,24,5,29,17.2
2019,189,Hale County,168,35,203,17.2
2019,455,Trinity County,48,10,58,17.2
2019,459,Upshur County,154,32,186,17.2
2016,461,Upton County,34,7,41,17.1
2017,003,Andrews County,155,32,187,17.1
2017,009,Archer County,34,7,41,17.1
2017,439,Tarrant County,15214,3145,18359,17.1
2018,147,Fannin County,165,34,199,17.1
2019,223,Hopkins County,189,39,228,17.1
2019,251,Johnson County,1027,212,1239,17.1
2016,133,Eastland County,122,25,147,17
2016,189,Hale County,219,45,264,17
2016,435,Sutton County,39,8,47,17
2017,059,Callahan County,93,19,112,17
2017,089,Colorado County,156,32,188,17
2018,059,Callahan County,73,15,88,17
2018,273,Kleberg County,225,46,271,17
2018,411,San Saba County,39,8,47,17
2018,501,Yoakum County,83,17,100,17
2019,035,Bosque County,78,16,94,17
2019,481,Wharton County,239,49,288,17
2016,123,DeWitt County,98,20,118,16.9
2016,255,Karnes County,103,21,124,16.9
2017,187,Guadalupe County,825,168,993,16.9
2017,409,San Patricio County,566,115,681,16.9
2018,021,Bastrop County,587,119,706,16.9
2018,133,Eastland County,118,24,142,16.9
2018,135,Ector County,1624,331,1955,16.9
2018,467,Van Zandt County,320,65,385,16.9
2018,473,Waller County,329,67,396,16.9
2019,093,Comanche County,59,12,71,16.9
2019,369,Parmer County,54,11,65,16.9
2019,397,Rockwall County,500,102,602,16.9
2017,227,Howard County,253,51,304,16.8
2018,395,Robertson County,119,24,143,16.8
2019,041,Brazos County,1158,233,1391,16.8
2017,243,Jeff Davis County,10,2,12,16.7
2017,271,Kinney County,15,3,18,16.7
2018,125,Dickens County,10,2,12,16.7
2018,127,Dimmit County,70,14,84,16.7
2019,091,Comal County,682,137,819,16.7
2019,413,Schleicher County,10,2,12,16.7
2017,013,Atascosa County,406,81,487,16.6
2017,213,Henderson County,527,105,632,16.6
2017,441,Taylor County,1250,249,1499,16.6
2018,489,Willacy County,136,27,163,16.6
2019,467,Van Zandt County,256,51,307,16.6
2016,177,Gonzales County,167,33,200,16.5
2016,277,Lamar County,384,76,460,16.5
2016,475,Ward County,91,18,109,16.5
2019,113,Dallas County,16643,3283,19926,16.5
2019,161,Freestone County,86,17,103,16.5
2019,291,Liberty County,471,93,564,16.5
2016,117,Deaf Smith County,92,18,110,16.4
2016,471,Walker County,484,95,579,16.4
2016,481,Wharton County,337,66,403,16.4
2018,317,Martin County,51,10,61,16.4
2018,429,Stephens County,56,11,67,16.4
2019,117,Deaf Smith County,138,27,165,16.4
2019,139,Ellis County,1078,211,1289,16.4
2016,091,Comal County,932,181,1113,16.3
2016,401,Rusk County,293,57,350,16.3
2017,395,Robertson County,113,22,135,16.3
2018,047,Brooks County,67,13,80,16.3
2018,103,Crane County,36,7,43,16.3
2019,179,Gray County,108,21,129,16.3
2016,213,Henderson County,574,111,685,16.2
2016,489,Willacy County,166,32,198,16.2
2017,099,Coryell County,362,70,432,16.2
2017,163,Frio County,114,22,136,16.2
2019,281,Lampasas County,93,18,111,16.2
2016,249,Jim Wells County,350,67,417,16.1
2016,287,Lee County,94,18,112,16.1
2016,313,Madison County,94,18,112,16.1
2016,383,Reagan County,47,9,56,16.1
2016,423,Smith County,1857,356,2213,16.1
2017,041,Brazos County,1484,285,1769,16.1
2018,035,Bosque County,104,20,124,16.1
2018,161,Freestone County,135,26,161,16.1
2019,021,Bastrop County,475,91,566,16.1
2019,053,Burnet County,162,31,193,16.1
2019,247,Jim Hogg County,26,5,31,16.1
2016,107,Crosby County,42,8,50,16
2016,325,Medina County,283,54,337,16
2017,049,Brown County,226,43,269,16
2017,215,Hidalgo County,7918,1507,9425,16
2018,051,Burleson County,100,19,119,16
2018,131,Duval County,84,16,100,16
2018,197,Hardeman County,21,4,25,16
2018,455,Trinity County,84,16,100,16
2019,147,Fannin County,136,26,162,16
